epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,387.142,0.74126,0.38686,0.95868,0.98454,0.99061,0.99399,0.71885,0.81811,0.33048,0.86654,0.000396265,0.000396265,0.000396265
43,396.313,0.77568,0.40934,0.98847,0.98169,0.97091,0.98818,0.69073,0.87709,0.3659,0.89951,0.000389661,0.000389661,0.000389661
44,404.987,0.73536,0.40147,0.96613,0.97413,0.95042,0.97163,0.69975,0.84731,0.35942,0.89182,0.000383058,0.000383058,0.000383058
45,413.915,0.75865,0.41303,0.96914,0.98039,0.97628,0.9913,0.69693,0.83459,0.3225,0.85199,0.000376455,0.000376455,0.000376455
46,424.207,0.73121,0.38867,0.95058,0.9842,0.98451,0.99242,0.72323,0.82846,0.32787,0.86893,0.000369851,0.000369851,0.000369851
47,433.11,0.7222,0.38837,0.95162,0.98689,0.97817,0.99141,0.69103,0.90384,0.3548,0.93379,0.000363248,0.000363248,0.000363248
48,441.604,0.7362,0.38494,0.96021,0.98727,0.99033,0.99404,0.74567,0.74841,0.3044,0.8209,0.000356645,0.000356645,0.000356645
49,451.089,0.71474,0.37295,0.95349,0.98838,0.98255,0.99346,0.70627,0.87427,0.33265,0.88782,0.000350042,0.000350042,0.000350042
50,459.607,0.68426,0.37401,0.93785,0.97762,0.9724,0.99337,0.69543,0.89461,0.35161,0.91,0.000343438,0.000343438,0.000343438
51,468.272,0.6957,0.37155,0.95223,0.97941,0.98061,0.99352,0.70517,0.87993,0.34371,0.89927,0.000336835,0.000336835,0.000336835
52,477.113,0.68093,0.36278,0.9444,0.9829,0.97886,0.99307,0.72948,0.76734,0.31084,0.83367,0.000330232,0.000330232,0.000330232
53,485.621,0.6905,0.36161,0.93938,0.97442,0.98309,0.99291,0.75411,0.70699,0.30322,0.80313,0.000323628,0.000323628,0.000323628
54,495.683,0.68577,0.36515,0.94518,0.96798,0.98614,0.99353,0.74022,0.75132,0.31525,0.82031,0.000317025,0.000317025,0.000317025
55,504.666,0.67634,0.36443,0.9408,0.9841,0.98357,0.99286,0.72206,0.80457,0.31389,0.85564,0.000310422,0.000310422,0.000310422
56,513.563,0.68339,0.37571,0.9417,0.9757,0.96598,0.99005,0.73865,0.76444,0.31517,0.8243,0.000303818,0.000303818,0.000303818
57,522.618,0.66106,0.35921,0.93328,0.97222,0.98744,0.99262,0.68583,0.87043,0.32806,0.8973,0.000297215,0.000297215,0.000297215
58,531.096,0.6415,0.35585,0.92486,0.98005,0.96984,0.99203,0.69056,0.88822,0.33495,0.91942,0.000290612,0.000290612,0.000290612
59,539.696,0.6283,0.34051,0.9144,0.97327,0.98715,0.99185,0.72618,0.79028,0.30174,0.86684,0.000284009,0.000284009,0.000284009
60,548.448,0.65154,0.3573,0.93194,0.97984,0.99454,0.99311,0.75139,0.71856,0.27897,0.8068,0.000277405,0.000277405,0.000277405
61,557.226,0.63126,0.32949,0.92143,0.98303,0.98805,0.995,0.74111,0.77719,0.29339,0.8383,0.000270802,0.000270802,0.000270802
62,566.078,0.62241,0.33429,0.92016,0.98588,0.98712,0.99342,0.74166,0.75689,0.28739,0.83563,0.000264199,0.000264199,0.000264199
63,574.937,0.63803,0.33892,0.92329,0.98926,0.98548,0.99155,0.74092,0.76323,0.29382,0.83842,0.000257595,0.000257595,0.000257595
64,583.769,0.60513,0.33464,0.91375,0.98461,0.99365,0.99329,0.73561,0.76382,0.29055,0.82858,0.000250992,0.000250992,0.000250992
