epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,651.914,0.71805,0.3936,1.09156,0.98138,0.98127,0.99142,0.71751,0.83013,0.34879,1.07321,0.000396265,0.000396265,0.000396265
43,667.034,0.73476,0.41901,1.09724,0.9547,0.97106,0.98545,0.69764,0.84005,0.3541,1.09667,0.000389661,0.000389661,0.000389661
44,681.706,0.71607,0.39323,1.07247,0.94046,0.92539,0.97318,0.65522,0.93818,0.46522,1.1616,0.000383058,0.000383058,0.000383058
45,696.403,0.73343,0.40957,1.07682,0.98112,0.98667,0.99151,0.7204,0.76639,0.32534,1.02069,0.000376455,0.000376455,0.000376455
46,711.178,0.71059,0.39011,1.06931,0.91857,0.99257,0.98702,0.69025,0.85177,0.36696,1.07657,0.000369851,0.000369851,0.000369851
47,726.09,0.69432,0.3845,1.04659,0.95738,0.91629,0.97383,0.64924,1.01669,0.42116,1.30404,0.000363248,0.000363248,0.000363248
48,741.492,0.6693,0.38286,1.0592,0.97109,0.97175,0.98585,0.69467,0.84486,0.37819,1.07662,0.000356645,0.000356645,0.000356645
49,756.349,0.6849,0.37149,1.0522,0.95712,0.98049,0.99096,0.72879,0.76219,0.35591,1.02571,0.000350042,0.000350042,0.000350042
50,773.523,0.66048,0.37069,1.04248,0.97748,0.9762,0.99318,0.74118,0.73819,0.32056,1.0095,0.000343438,0.000343438,0.000343438
51,790.156,0.66406,0.37198,1.04683,0.92706,0.91267,0.94597,0.60276,1.06753,0.50076,1.36892,0.000336835,0.000336835,0.000336835
52,804.558,0.65763,0.3634,1.03399,0.93437,0.95529,0.9808,0.66025,0.95157,0.39804,1.21353,0.000330232,0.000330232,0.000330232
53,819.268,0.64787,0.36517,1.02542,0.97634,0.98643,0.98994,0.73591,0.73709,0.31929,1.00523,0.000323628,0.000323628,0.000323628
54,833.892,0.66503,0.36727,1.043,0.97205,0.97228,0.9869,0.681,0.8958,0.36812,1.13972,0.000317025,0.000317025,0.000317025
55,848.602,0.6458,0.35763,1.03228,0.97868,0.98719,0.99113,0.74103,0.75861,0.31721,1.01493,0.000310422,0.000310422,0.000310422
56,863.456,0.66326,0.38835,1.03388,0.98356,0.98403,0.99275,0.71906,0.84481,0.34321,1.10776,0.000303818,0.000303818,0.000303818
57,877.72,0.64544,0.3473,1.0248,0.9767,0.98763,0.98928,0.73014,0.79174,0.33327,1.05266,0.000297215,0.000297215,0.000297215
58,891.878,0.60453,0.35508,1.00009,0.97502,0.98403,0.99286,0.7515,0.71125,0.30161,0.98576,0.000290612,0.000290612,0.000290612
59,907.742,0.58698,0.34319,1.00516,0.95245,0.96183,0.98266,0.63659,1.06909,0.43611,1.35053,0.000284009,0.000284009,0.000284009
60,922.755,0.61026,0.35226,1.01516,0.97346,0.98609,0.99314,0.71208,0.84083,0.34484,1.12088,0.000277405,0.000277405,0.000277405
61,937.62,0.60116,0.32544,1.00177,0.97266,0.98702,0.99193,0.73942,0.76921,0.31474,1.04235,0.000270802,0.000270802,0.000270802
